,hotel,id,address,latitude,longitude,distance,ratings,description,website,photo_prefix,photo_suffix,photo_width,photo_height
0,Hilton Toronto Airport Hotel & Suites,4b930a47f964a520c43034e3,5875 Airport Road (Highway 427) L4V 1N1,43.68667684,-79.6042487,11935,6.1,NA,http://www3.hilton.com/en/hotels/ontario/hilton-toronto-airport-hotel-and-suites-YYZHIHH/index.html,https://fastly.4sqi.net/img/general/,/ZpxUM1yGlYIuBcIbKAk_WTDeUA-9NdIoTPCanyNCuk8.jpg,612,612
1,Sheraton Parkway Toronto North Hotel & Suites,4add3b3df964a520b36421e3,600 Highway 7 (at Leslie St) L4B 1B2,43.8457572,-79.3810004,13573,5.6,"Ideally Located Convention And Suite Hotel Close To Downtown Toronto. Near Shopping, Restaurants, Golf Courses And Canada's Wonderland.",https://www.marriott.com/hotels/travel/yyzsi-sheraton-parkway-toronto-north-hotel-and-suites/,https://fastly.4sqi.net/img/general/,/2028923_OdF4Nh1PTkhNPxtnGjkRifWJj6GqV3BhX_O31ZFeM7M.jpg,612,612
2,Sheraton Toronto Airport Hotel & Conference Centre,4add3a4ff964a520ac6421e3,801 Dixon Road (at Skyway Ave) M9W 1J5,43.6868545,-79.5874973,11178,6.7,"Sheraton Toronto Airport Hotel & Conference Centre is a contemporary hotel located moments from Toronto Pearson Airport. Enjoy a complimentary airport shuttle, free on-site parking and well-appointed accommodations.",https://www.marriott.com/hotels/travel/yyzds-sheraton-toronto-airport-hotel-and-conference-centre/,https://fastly.4sqi.net/img/general/,/212169387_C2-Wh9iB-a9yFzkkMFUuT3RsxV7Rna5lQWhqCNs0Bds.jpg,3888,2592
3,One King West Hotel & Residence,4af96fbbf964a520c01122e3,1 King St. W. (at Yonge St.) M5H 1A1,43.64894711,-79.37796622,17805,8,"One King West Hotel & Residence is located in the heart of downtown Toronto featuring fully furnished apartments, spectacular views and over 500 luxury hotel suites. Our beautifully restored event space is perfect for weddings, corporate functions, product launches, and galas.",http://www.onekingwest.com,NA,NA,NA,NA
4,Radisson Suite Hotel Toronto Airport,4be0a3f198f2a59356eec25a,640 Dixon Road M9W 1J1,43.69217336,-79.57661927,10234,5.8,"Radisson Suite Hotel Toronto Airport lies just an eight-minute shuttle ride from Toronto Pearson International Airport (YYZ). Surrounded by highways 27, 427 and 401, the hotel offers an ideal starting point for guests exploring Toronto or attending events at The Toronto Congress Centre.",https://www.radisson.com/toronto-hotel-on-m9w1j1/ontorair?s_cid=os.amer-ca-rad-ONTORAIR-yxt,https://fastly.4sqi.net/img/general/,/Q0QZE3B0TXRETICBAFGYLXDK2BSX5RHBG3PMS1PL1KJU1XAK.jpg,540,540
5,Sheraton Centre Toronto Hotel,4ab2d511f964a5209b6c20e3,123 Queen Street West (at York St.) M5H 2M9,43.65105171,-79.38402593,17318,6.9,"The city’s preeminent destination hotel for business or leisure, Sheraton Centre Toronto Hotel boasts Toronto’s largest year-round pool and Senses Spa.",http://www.spg.com/foursquare/,https://fastly.4sqi.net/img/general/,/190087145_DHxhj9_MDAsX_0mBRWz64P46xMSmtmPY5NLLQ2XHHQY.jpg,1600,900
6,Chelsea Hotel,51d212c3498ebf27dc469bc9,33 Gerrard Street West (at Yonge St) M5G 1Z4,43.65849759,-79.3830973,16722,6.7,"Chelsea Hotel, Toronto is located in the heart of downtown, just steps from the city's best shopping districts, world-class theatres, vibrant nightlife and exciting attractions. The hotel features 1,590 guestrooms, three restaurants and separate adult and family recreation areas – including a sea...",http://www.chelseatoronto.com/en/?size=na&htl=cstor&src=plist,https://fastly.4sqi.net/img/general/,/10753950_P1kOzyv-RkzhIsiG93gE3YpNPRRHxZsLVzCQisSU_DA.jpg,960,720
7,Hotel Gelato,4b896ec4f964a520bd3532e3,532 Eglinton Ave. W (at Heddington Ave.) M5N 1B4,43.70347777,-79.41431072,11347,8.6,"Licensed Cafe, Espresso Bar and Bake Shop. Join us for Breakfast, Lunch, Dinner and Weekend Brunch. We also offer gluten-free, vegan & dairy-free options.",http://www.hotelgelato.com,https://fastly.4sqi.net/img/general/,/93236044_lb_MIbpsp0xK2OF2hYosncS_Elb_P2R0BzuSBgcO6Yw.jpg,1440,1920
8,Alt Hotel Toronto Airport,4e295cc02271752a459d81e1,"6080, Viscount Road L4V 0A1",43.68971128,-79.61496518,12201,8.4,NA,http://www.althotels.ca,https://fastly.4sqi.net/img/general/,/30176634_CJXdnzPlqsXzrhSPiQ6xyhFSASILFCeZ6UqgQ89M-Ws.jpg,1920,1434
9,Toronto Marriott Bloor Yorkville Hotel,4ae1cb55f964a520758721e3,90 Bloor Street East M4W 1A7,43.67104886,-79.38496507,15576,6.9,"Toronto Marriott Bloor Yorkville Hotel Offers Well-Appointed Rooms And Suites, Contemporary Amenities, A Fitness Center, Event Space, A Restaurant, Bar And A Perfect Location Just Steps From Bloor Street In The Vibrant Bloor-Yorkville Neighbourhood.",https://www.marriott.com/hotels/travel/yyzmc-toronto-marriott-bloor-yorkville-hotel/,https://fastly.4sqi.net/img/general/,/QQEYBNLR4MOHOIRTMR55P425CW31L4BGDZ0PQLDQCFKSFBR1.jpg,540,720
10,Sheraton Hotel Club Lounge,4dbe0a4f0437955ec05c519c,"Terminal 3, Toronto AMF (in Sheraton Gateway Hotel) L5P 1C4",43.68647854,-79.61978684,12727,5.9,NA,NA,https://fastly.4sqi.net/img/general/,/11046315_-iWnqzOgCqF-rGyc4fbV26EeQqsgqSlLVhOGUixdUqQ.jpg,1920,1440
